Seller.ID,Price,NumBids,SellRating
bidgui,510,23,178
bidgui,475,32,178
bidgui,485,32,178
bidgui,520,34,178
bidgui,540,34,178
bidgui,560,39,178
bidgui,491.93,43,178
bidgui,502,45,178
bidgui,531,45,178
bidgui,500,46,178
bidgui,581,47,178
bidgui,520,48,178
bidgui,575,48,178
bijanmoallemi,495,23,184
bijanmoallemi,512,25,184
bijanmoallemi,475,15,184
bijanmoallemi,475,18,184
bijanmoallemi,560,30,184
bijanmoallemi,530,35,184
bijanmoallemi,500,45,184
bijanmoallemi,547.77,47,184
bijanmoallemi,550,57,184
catrnja8,455,22,24
catrnja8,410,24,24
catrnja8,450,26,24
catrnja8,475,28,24
catrnja8,485,29,24
catrnja8,450,30,24
catrnja8,475,31,24
catrnja8,445,38,24
catrnja8,455,42,24
catrnja8,455,46,24
catrnja8,510,52,24
catrnja8,465,54,24
circlet3513,445,35,1579
circlet3513,455,36,1579
circlet3513,480,38,1579
circlet3513,465,47,1579
cwpro2003,519,16,456
cwpro2003,490,18,456
cwpro2003,502.75,23,456
cwpro2003,510,23,456
cwpro2003,516,26,456
cwpro2003,510,35,456
cybertechstore,540,23,1981
cybertechstore,495,24,1981
cybertechstore,525,31,1981
cybertechstore,504,35,1981
cybertechstore,510,35,1981
cybertechstore,510,36,1981
cybertechstore,538.5,43,1981
cybertechstore,500,45,1981
cybertechstore,520,53,1981
distributorvietnam,410,23,191
distributorvietnam,420,23,191
distributorvietnam,441,18,191
distributorvietnam,441,26,191
distributorvietnam,455,26,191
distributorvietnam,437,29,191
dk_134,455,20,79
dk_134,460,24,79
dk_134,425,20,79
dk_134,445.5,20,79
dk_134,419,25,79
dk_134,430,27,79
dk_134,460,38,79
dk_134,455,40,79
dk_134,455,54,79
earthmovement,510,15,1216
earthmovement,500,17,1216
earthmovement,510,29,1216
earthmovement,454,32,1216
earthmovement,485.01,38,1216
earthmovement,500,39,1216
earthmovement,500,40,1216
earthmovement,493.5,50,1216
easyfastshopping,452,19,1793
easyfastshopping,445,37,1793
easyfastshopping,475,60,1793
easyfastshopping,510,21,1793
easyfastshopping,466.59,26,1793
easyfastshopping,475,26,1793
easyfastshopping,493,28,1793
easyfastshopping,510,29,1793
easyfastshopping,530,32,1793
easyfastshopping,511,33,1793
easyfastshopping,465,34,1793
easyfastshopping,510,34,1793
easyfastshopping,460,35,1793
easyfastshopping,485,35,1793
etothailin,460,21,139
etothailin,415,27,139
etothailin,435,31,139
etothailin,440,31,139
etothailin,415.99,38,139
etothailin,460,46,139
fastsupplier7,455,20,1
fastsupplier7,490,22,1
fastsupplier7,476,25,1
fastsupplier7,460,28,1
fastsupplier7,465,30,1
fastsupplier7,471.01,31,1
funkshion51,435,15,305
funkshion51,475,15,305
funkshion51,485,15,305
funkshion51,480,18,305
funkshion51,490,18,305
funkshion51,500,18,305
funkshion51,470,20,305
funkshion51,484,24,305
funkshion51,520,24,305
funkshion51,475,26,305
funkshion51,495,29,305
funkshion51,490,30,305
funkshion51,495,30,305
funkshion51,490,32,305
funkshion51,540,32,305
funkshion51,485,43,305
funkshion51,475,17,305
funkshion51,460,18,305
funkshion51,470,18,305
funkshion51,476.5,18,305
funkshion51,480,18,305
funkshion51,426,19,305
funkshion51,445,19,305
funkshion51,470,19,305
funkshion51,470,21,305
funkshion51,485,21,305
funkshion51,430,24,305
funkshion51,475,25,305
funkshion51,520,25,305
funkshion51,460.01,26,305
funkshion51,470,26,305
funkshion51,470,27,305
funkshion51,471,28,305
funkshion51,500,28,305
funkshion51,510,30,305
funkshion51,475,31,305
funkshion51,430,33,305
funkshion51,485.33,37,305
funkshion51,495,38,305
funkshion51,560,38,305
funkshion51,480,41,305
funkshion51,455,43,305
funkshion51,500,49,305
funkshion51,500,56,305
gemini_collections,440,21,103
gemini_collections,466,21,103
gemini_collections,510,24,103
gemini_collections,455,26,103
gemini_collections,470,36,103
gemini_collections,480,39,103
gemini_collections,465,41,103
gemini_collections,530,44,103
ghetcongaiii,460,33,20
ghetcongaiii,441.5,35,20
ghetcongaiii,435,31,20
ghetcongaiii,455,46,20
golden1008,473,18,886
golden1008,475,26,886
golden1008,485,27,886
golden1008,500,28,886
golden1008,490,32,886
golden1008,480,20,886
golden1008,475,27,886
golden1008,485,29,886
golden1008,513,39,886
golden1008,495,41,886
halakim148,445,20,2
halakim148,435,24,2
halakim148,455,30,2
halakim148,425,31,2
halakim148,446,34,2
halakim148,465,34,2
halakim148,455,35,2
halakim148,435.09,41,2
halakim148,475,41,2
halakim148,446.05,43,2
hardeep7074,409,26,27
hardeep7074,395,36,27
hardeep7074,417,37,27
hardeep7074,480,38,27
headto2100,480,17,1919
headto2100,460,21,1919
headto2100,490,27,1919
headto2100,481,30,1919
headto2100,490,31,1919
headto2100,480,39,1919
hotwheelzzonline,540,24,26
hotwheelzzonline,570,33,26
hotwheelzzonline,485,34,26
hotwheelzzonline,445,37,26
hotwheelzzonline,485,42,26
hotwheelzzonline,470,56,26
hotwheelzzonline,475,57,26
idirlic,465,18,22
idirlic,455.6,20,22
idirlic,480,20,22
idirlic,455,22,22
idirlic,475,24,22
idirlic,490,24,22
idirlic,465,26,22
idirlic,470,26,22
idirlic,473,29,22
idirlic,510,29,22
idirlic,445,31,22
idirlic,565,31,22
idirlic,500,35,22
idirlic,445,39,22
idirlic,445,40,22
idirlic,450,41,22
idirlic,465,44,22
ierelover,460,27,40
ierelover,435,32,40
ierelover,430,42,40
ierelover,454,51,40
indsh0p,455,16,126
indsh0p,460,16,126
indsh0p,490,16,126
indsh0p,456.06,17,126
indsh0p,465,17,126
indsh0p,470,17,126
indsh0p,426,18,126
indsh0p,465,21,126
indsh0p,476.55,21,126
indsh0p,510,21,126
indsh0p,430,22,126
indsh0p,465,23,126
indsh0p,460,24,126
indsh0p,455,26,126
indsh0p,460,26,126
indsh0p,465,27,126
indsh0p,445,28,126
indsh0p,450.01,28,126
indsh0p,470,30,126
indsh0p,455,31,126
indsh0p,450,32,126
indsh0p,485,32,126
indsh0p,440,33,126
indsh0p,510.5,36,126
ineedmore773,450,17,46
ineedmore773,455,33,46
ineedmore773,450,19,46
ineedmore773,450,21,46
ineedmore773,466,21,46
ineedmore773,460,24,46
ineedmore773,450,25,46
ineedmore773,465,30,46
ineedmore773,430,38,46
ivaniths,415.99,18,48
ivaniths,436,18,48
ivaniths,451,19,48
ivaniths,445,20,48
ivaniths,446,22,48
ivaniths,422,26,48
ivaniths,460,26,48
ivaniths,465,26,48
ivaniths,465.55,28,48
jsh11204,410,17,45
jsh11204,431,21,45
jsh11204,401.79,26,45
jsh11204,410,27,45
jsh11204,404.99,28,45
kieferjag,435,22,31
kieferjag,475,26,31
kieferjag,495,26,31
kieferjag,520,32,31
kieferjag,430,23,31
kieferjag,435,32,31
kieferjag,445,33,31
kieferjag,435,34,31
kieferjag,481,45,31
kieferjag,445,75,31
knoedler,465,19,6372
knoedler,430,20,6372
knoedler,421,26,6372
knoedler,475,37,6372
kzarcade,460,27,53
kzarcade,500,33,53
kzarcade,455,45,53
kzarcade,485,48,53
kzarcade,470,55,53
kzarcade,520,55,53
lilymyth,510,23,4634
lilymyth,510,28,4634
lilymyth,500,30,4634
lilymyth,510,35,4634
lilymyth,500,38,4634
lilymyth,572.54,39,4634
lilymyth,514.99,40,4634
lilymyth,581,46,4634
louisnet,540,26,187
louisnet,550,26,187
louisnet,510,27,187
louisnet,518,28,187
louisnet,520.99,30,187
louisnet,575,31,187
louisnet,580,31,187
louisnet,541,33,187
louisnet,570,33,187
louisnet,525,35,187
loukinh,465,21,92
loukinh,450.12,24,92
loukinh,405,27,92
loukinh,450,32,92
loukinh,420,39,92
loukinh,442,41,92
loukinh,455.99,44,92
mao_wolf,490,16,1410
mao_wolf,520,26,1410
mao_wolf,515,33,1410
mao_wolf,496,44,1410
mao_wolf,587.26,66,1410
mimo01968,465,16,34
mimo01968,465,27,34
mimo01968,435,27,34
mimo01968,450,35,34
mr_kemikal,450.1,18,255
mr_kemikal,478,23,255
mr_kemikal,471,16,255
mr_kemikal,480.98,21,255
mr_kemikal,481,21,255
mr_kemikal,455.99,22,255
mr_kemikal,455,27,255
mr_kemikal,480,27,255
mr_kemikal,455,30,255
mr_kemikal,474.5,35,255
mr_kemikal,510,44,255
ndeep3155,465,16,333
ndeep3155,440,19,333
ndeep3155,455,19,333
ndeep3155,405,23,333
ndeep3155,425,27,333
ndeep3155,450,48,333
ndeep3155,425,28,333
nearmart,470,26,70
nearmart,465,27,70
nearmart,520,44,70
nearmart,485,45,70
neynme,480,15,116
neynme,530,22,116
neynme,475,25,116
neynme,480,31,116
neynme,460.1,17,116
neynme,499,19,116
neynme,479,22,116
neynme,550,25,116
neynme,480,26,116
neynme,510,38,116
nhauctionguy,430,15,24
nhauctionguy,446,16,24
nhauctionguy,455,16,24
nhauctionguy,450,17,24
nhauctionguy,437,18,24
nhauctionguy,442,18,24
nhauctionguy,430,20,24
nhauctionguy,450,20,24
nhauctionguy,425,24,24
nhauctionguy,450,25,24
nhauctionguy,440,26,24
nhauctionguy,406,33,24
nhauctionguy,455,39,24
nyroom,455.3,21,434
nyroom,460,23,434
nyroom,430,30,434
nyroom,446,34,434
ollegorro,441,16,31
ollegorro,455,18,31
ollegorro,460,23,31
ollegorro,425,25,31
ollegorro,456,29,31
ollegorro,455,30,31
ollegorro,430,31,31
ollegorro,470,32,31
ollegorro,440,33,31
ollegorro,465,33,31
ollegorro,490,43,31
onemanwireless,470,18,430
onemanwireless,480,38,430
onemanwireless,500,39,430
onquetechnology,425,15,19
onquetechnology,425,21,19
onquetechnology,435,21,19
otbone,471,19,97
otbone,485,23,97
otbone,485,24,97
otbone,485,24,97
otbone,446.3,25,97
otbone,475,25,97
otbone,475,26,97
otbone,535,27,97
otbone,455,28,97
otbone,466,28,97
otbone,485,28,97
otbone,490,29,97
otbone,495,29,97
otbone,460,33,97
otbone,485,33,97
otbone,490,33,97
otbone,485,35,97
otbone,490,35,97
otbone,470,36,97
otbone,470.11,36,97
otbone,471,38,97
otbone,500,47,97
otbone,505,22,97
otbone,455,26,97
otbone,465,30,97
otbone,513.5,53,97
p0tatoechips,480,33,191
p0tatoechips,450,20,191
p0tatoechips,470,21,191
p0tatoechips,460,27,191
p0tatoechips,450,30,191
p0tatoechips,470.99,51,191
pattipcake,550,25,266
pattipcake,500,38,266
pattipcake,530,46,266
pattipcake,500,82,266
pbttap,530,19,1634
pbttap,531,28,1634
pbttap,530,30,1634
pbttap,520,32,1634
pbttap,520,35,1634
pbttap,485,36,1634
pbttap,530,38,1634
pbttap,510,42,1634
pbttap,520,48,1634
pbttap,520,53,1634
pbttap,525,58,1634
pbttap,515.05,15,1634
pbttap,486.93,16,1634
pbttap,510,16,1634
pbttap,510,16,1634
pbttap,510,17,1634
pbttap,485,21,1634
pbttap,471,22,1634
pbttap,495,23,1634
pbttap,500,23,1634
pbttap,521,23,1634
pbttap,501,24,1634
pbttap,510,24,1634
pbttap,521.1,24,1634
pbttap,500,25,1634
pbttap,500,25,1634
pbttap,471.01,26,1634
pbttap,490,27,1634
pbttap,541,27,1634
pbttap,521,28,1634
pbttap,530,28,1634
pbttap,485,29,1634
pbttap,510,29,1634
pbttap,520.1,30,1634
pbttap,500,31,1634
pbttap,520,31,1634
pbttap,520,32,1634
pbttap,535,32,1634
pbttap,455.05,33,1634
pbttap,510,33,1634
pbttap,511,33,1634
pbttap,530,33,1634
pbttap,530,33,1634
pbttap,475,35,1634
pbttap,535,35,1634
pbttap,490,36,1634
pbttap,492,36,1634
pbttap,504.99,36,1634
pbttap,600,36,1634
pbttap,495,37,1634
pbttap,500,37,1634
pbttap,520,37,1634
pbttap,520.05,37,1634
pbttap,502,38,1634
pbttap,550.01,38,1634
pbttap,480,39,1634
pbttap,485,39,1634
pbttap,496,40,1634
pbttap,510,40,1634
pbttap,485,43,1634
pbttap,510,43,1634
pbttap,495,44,1634
pbttap,540,44,1634
pbttap,495,45,1634
pbttap,485,49,1634
pbttap,538,49,1634
pbttap,476,52,1634
pbttap,515,53,1634
pchem540,475,18,61
pchem540,500,20,61
pchem540,455,31,61
pchem540,470,36,61
penkae,470,17,267
penkae,470,20,267
penkae,465,24,267
penkae,488,16,267
penkae,455.01,17,267
penkae,465,18,267
penkae,465,18,267
penkae,465,20,267
penkae,450,21,267
planet_of_funk_ent,485,33,453
planet_of_funk_ent,485,33,453
planet_of_funk_ent,530,43,453
planet_of_funk_ent,522,46,453
powerpcpro,443,29,30
powerpcpro,478,34,30
powerpcpro,510,35,30
powerpcpro,450,54,30
powerpcpro,435,60,30
productindustries,445,28,18
productindustries,475,30,18
productindustries,465,30,18
productindustries,599.99,36,18
productindustries,485,43,18
quality_nextday_deal$,465,24,238
quality_nextday_deal$,440,26,238
quality_nextday_deal$,475,40,238
quality_nextday_deal$,440,55,238
seanlin1978,485,21,1819
seanlin1978,490,24,1819
seanlin1978,492.01,28,1819
seanlin1978,495,29,1819
seanlin1978,495,30,1819
seanlin1978,495,31,1819
seanlin1978,510,40,1819
seanlin1978,510,40,1819
seanlin1978,519,40,1819
seanlin1978,510,51,1819
seanlin1978,476,27,1819
seanlin1978,465,29,1819
seanlin1978,441,46,1819
sharman786,466,39,205
sharman786,445,31,205
sharman786,450,33,205
sharman786,490,41,205
sharman786,470,54,205
skyline_cell,465,21,3218
skyline_cell,423,23,3218
skyline_cell,475,29,3218
skyline_cell,435,30,3218
soliddk,415,16,132
soliddk,435,19,132
soliddk,445,24,132
soliddk,455,30,132
soliddk,426.88,20,132
soliddk,485,22,132
soliddk,410,23,132
soliddk,440,25,132
soliddk,541,27,132
soliddk,475,32,132
soliddk,429,34,132
soliddk,445,46,132
soliddk,445,81,132
stone4yu,425.99,31,215
stone4yu,445,31,215
stone4yu,437,34,215
stone4yu,430,38,215
stone4yu,465,38,215
stone4yu,440,41,215
stone4yu,460,42,215
stone4yu,455,43,215
stone4yu,511,51,215
subsoiledwriter,466,18,26
subsoiledwriter,503.1,27,26
subsoiledwriter,460.1,29,26
subsoiledwriter,500,31,26
subsoiledwriter,485,45,26
tbgstore,490,35,299
tbgstore,552,25,299
tbgstore,415,27,299
tbgstore,457,30,299
tbgstore,495,38,299
tbgstore,505,44,299
tecum15,465,24,46
tecum15,445,30,46
tecum15,448,32,46
tecum15,460,32,46
tecum15,440,34,46
tecum15,455,34,46
tecum15,485,36,46
tecum15,510,57,46
tecum15,465,22,46
tecum15,436,31,46
tecum15,465,43,46
tecum15,460,49,46
the.gill,470,25,323
the.gill,465,26,323
the.gill,455,27,323
the.gill,465.25,28,323
the.gill,488,29,323
the.gill,450,30,323
the.gill,471,30,323
the.gill,475,30,323
the.gill,435,31,323
the.gill,450,31,323
the.gill,490,33,323
the.gill,520,34,323
the.gill,485,37,323
the.gill,495,37,323
the.gill,495,37,323
the.gill,500,37,323
the.gill,480,41,323
the.gill,455,42,323
the.gill,466,46,323
the.gill,485,46,323
the.gill,586,46,323
the.gill,501.03,49,323
the.gill,470,53,323
the.gill,480,55,323
the.gill,455,60,323
the.gill,485,61,323
tri-simple,460,16,80
tri-simple,483,19,80
tri-simple,478,24,80
tri-simple,448,25,80
trunggauuoi,525,21,484
trunggauuoi,500,24,484
trunggauuoi,485,28,484
trunggauuoi,500,32,484
trunggauuoi,532,32,484
trunggauuoi,475,34,484
trunggauuoi,445,38,484
trunggauuoi,504,41,484
trunggauuoi,510,41,484
trunggauuoi,491,42,484
trustworthy1188,445,15,2246
trustworthy1188,485,17,2246
trustworthy1188,455,18,2246
trustworthy1188,475,22,2246
trustworthy1188,465,23,2246
trustworthy1188,495,23,2246
trustworthy1188,440,24,2246
trustworthy1188,485,27,2246
trustworthy1188,450,28,2246
trustworthy1188,465,28,2246
trustworthy1188,460,30,2246
trustworthy1188,475,30,2246
trustworthy1188,485,30,2246
trustworthy1188,465,31,2246
trustworthy1188,471,31,2246
trustworthy1188,465,32,2246
trustworthy1188,472.77,34,2246
trustworthy1188,490,36,2246
trustworthy1188,450,37,2246
trustworthy1188,449,38,2246
trustworthy1188,465,46,2246
trustworthy1188,500,71,2246
tulliotx,445,16,114
tulliotx,521,21,114
tulliotx,470,23,114
tulliotx,460,24,114
tulliotx,480,27,114
tulliotx,460,28,114
tulliotx,475,29,114
tulliotx,481,29,114
tulliotx,480,30,114
tulliotx,465,31,114
tulliotx,485,32,114
tulliotx,475,36,114
tulliotx,465,37,114
tulliotx,510,37,114
tulliotx,610,37,114
tulliotx,465,38,114
tulliotx,485,40,114
tulliotx,530,42,114
tulliotx,510,43,114
tulliotx,530,51,114
tulliotx,455,57,114
tulliotx,530,25,114
tulliotx,455,29,114
tulliotx,540,29,114
tulliotx,495,30,114
tulliotx,569,31,114
tulliotx,495,38,114
tulliotx,520,39,114
tulliotx,520,41,114
tulliotx,470,57,114
vud303,465,17,122
vud303,470,22,122
vud303,466,30,122
vud303,485,36,122
vud303,500,37,122
wirelessxperts,394,16,3830
wirelessxperts,410.56,19,3830
wirelessxperts,425,19,3830
wirelessxperts,405,22,3830
wirelessxperts,425,23,3830
wirelessxperts,420,25,3830
wirelessxperts,402,26,3830
wirelessxperts,393,29,3830
wirelessxperts,432.55,30,3830
wirelessxperts,415,31,3830
wirelessxperts,440,33,3830
wirelessxperts,410,34,3830
wirelessxperts,425,34,3830
wirelessxperts,431,39,3830
wirelessxperts,405,50,3830
wolffj,453,24,246
wolffj,485,26,246
wolffj,495,26,246
wolffj,466,27,246
wolffj,466,29,246
wolffj,479.99,39,246
wolffj,485,43,246
wolffj,470,45,246
xpnicepc,495,32,392
xpnicepc,485,49,392
xpnicepc,511,24,392
xpnicepc,460,27,392
xpnicepc,529,27,392
xpnicepc,510.65,28,392
xpnicepc,478,29,392
xpnicepc,560,38,392
xpnicepc,510,45,392
xpnicepc,530,45,392
xpnicepc,540,45,392
xpnicepc,610,45,392
xpnicepc,521,47,392
xpnicepc,511,69,392
xyblm,480,16,1747
xyblm,481,19,1747
xyblm,520.01,19,1747
xyblm,455.99,20,1747
xyblm,500,20,1747
xyblm,465,22,1747
xyblm,510,22,1747
xyblm,465,23,1747
xyblm,488,24,1747
xyblm,560,25,1747
xyblm,470.1,26,1747
xyblm,485,26,1747
xyblm,541.25,26,1747
xyblm,485,27,1747
xyblm,485,27,1747
xyblm,500,28,1747
xyblm,511.1,28,1747
xyblm,536,29,1747
xyblm,485,30,1747
xyblm,495,30,1747
xyblm,510,30,1747
xyblm,486,31,1747
xyblm,491,31,1747
xyblm,494.89,31,1747
xyblm,512,31,1747
xyblm,495,32,1747
xyblm,465,34,1747
xyblm,501,34,1747
xyblm,520,34,1747
xyblm,465,35,1747
xyblm,520,35,1747
xyblm,465,36,1747
xyblm,487.83,37,1747
xyblm,496,37,1747
xyblm,510,37,1747
xyblm,490,39,1747
xyblm,487,40,1747
xyblm,496,42,1747
xyblm,510,44,1747
xyblm,510,45,1747
xyblm,475,46,1747
xyblm,510,46,1747
xyblm,520,47,1747
xyblm,496,52,1747
yaeyo310,405,24,39
yaeyo310,403,25,39
yaeyo310,401,30,39
yaeyo310,410,32,39
yaeyo310,405,33,39
yaeyo310,400,40,39
yaeyo310,435,41,39
yaeyo310,405,45,39
yaylabeyim,461,15,189
yaylabeyim,435,17,189
yaylabeyim,495,17,189
yaylabeyim,465,18,189
yaylabeyim,455,19,189
yaylabeyim,485,19,189
yaylabeyim,460,20,189
yaylabeyim,458,21,189
yaylabeyim,470,21,189
yaylabeyim,450,22,189
yaylabeyim,490,22,189
yaylabeyim,490,22,189
yaylabeyim,461,23,189
yaylabeyim,430,24,189
yaylabeyim,485,25,189
yaylabeyim,490,26,189
yaylabeyim,455,27,189
yaylabeyim,495,27,189
yaylabeyim,460,28,189
yaylabeyim,465,28,189
yaylabeyim,450,30,189
yaylabeyim,460,30,189
yaylabeyim,485,30,189
yaylabeyim,480,31,189
yaylabeyim,488,31,189
yaylabeyim,470,32,189
yaylabeyim,475,32,189
yaylabeyim,502,32,189
yaylabeyim,443,34,189
yaylabeyim,450,36,189
yaylabeyim,465,38,189
yaylabeyim,425,39,189
yaylabeyim,471,39,189
zornlargent,451,18,225
zornlargent,457,24,225
zornlargent,511,25,225
zozocellular,427,21,442
zozocellular,495,22,442
zozocellular,480,23,442
zozocellular,445,32,442
zozocellular,530,34,442
